Gene ID	Gene name	ADPSBQ_Pval	ADPSBQ_logFC	ADPSBQ_qvalue	ADPVSC_Pval	ADPVSC_logFC	ADPVSC_qvalue	ADRNLG_Pval	ADRNLG_logFC	ADRNLG_qvalue	ARTAORT_Pval	ARTAORT_logFC	ARTAORT_qvalue	ARTCRN_Pval	ARTCRN_logFC	ARTCRN_qvalue	ARTTBL_Pval	ARTTBL_logFC	ARTTBL_qvalue	BRNCTXA_Pval	BRNCTXA_logFC	BRNCTXA_qvalue	CLNSGM_Pval	CLNSGM_logFC	CLNSGM_qvalue	CLNTRN_Pval	CLNTRN_logFC	CLNTRN_qvalue	ESPGEJ_Pval	ESPGEJ_logFC	ESPGEJ_qvalue	ESPMCS_Pval	ESPMCS_logFC	ESPMCS_qvalue	ESPMSL_Pval	ESPMSL_logFC	ESPMSL_qvalue	FIBRBLS_Pval	FIBRBLS_logFC	FIBRBLS_qvalue	HRTAA_Pval	HRTAA_logFC	HRTAA_qvalue	HRTLV_Pval	HRTLV_logFC	HRTLV_qvalue	LCL_Pval	LCL_logFC	LCL_qvalue	LIVER_Pval	LIVER_logFC	LIVER_qvalue	LUNG_Pval	LUNG_logFC	LUNG_qvalue	MSCLSK_Pval	MSCLSK_logFC	MSCLSK_qvalue	NERVET_Pval	NERVET_logFC	NERVET_qvalue	PNCREAS_Pval	PNCREAS_logFC	PNCREAS_qvalue	PTTARY_Pval	PTTARY_logFC	PTTARY_qvalue	SKINNS_Pval	SKINNS_logFC	SKINNS_qvalue	SKINS_Pval	SKINS_logFC	SKINS_qvalue	SMINTI_Pval	SMINTI_logFC	SMINTI_qvalue	SPLEEN_Pval	SPLEEN_logFC	SPLEEN_qvalue	STMACH_Pval	STMACH_logFC	STMACH_qvalue	THYROID_Pval	THYROID_logFC	THYROID_qvalue	WHLBLD_Pval	WHLBLD_logFC	WHLBLD_qvalue	category	region
ENSG00000147124.8	ZNF41	9.86E-02	-0.038486455	1.32E-01	6.92E-01	-0.013943863	5.72E-01	6.38E-01	-0.015094776	7.74E-01	6.85E-01	-0.011266926	5.55E-01	9.83E-01	0.000793341	7.43E-01	1.42E-01	-0.034574491	2.88E-01	2.89E-01	-0.03790531	3.81E-01	4.61E-02	-0.074461154	8.72E-01	8.40E-02	-0.063646889	6.71E-01	5.21E-01	-0.021987571	7.64E-01	9.62E-01	-0.001197848	7.62E-01	8.99E-02	-0.042634311	4.65E-01	5.14E-03	-0.061388087	2.60E-02	4.28E-02	-0.083886231	1.79E-01	7.56E-01	-0.009819489	4.55E-01	2.50E-02	-0.076962214	4.78E-01	1.71E-01	0.074949146	5.25E-01	6.51E-01	-0.011954632	7.48E-01	1.06E-05	-0.112513894	9.86E-05	9.46E-02	-0.044695838	2.95E-01	4.99E-02	-0.064180328	2.19E-01	9.90E-01	0.000652151	7.31E-01	9.96E-01	0.000199363	6.55E-01	4.03E-01	-0.023169871	3.29E-01	8.67E-02	-0.073164105	5.98E-01	3.86E-01	-0.028344298	4.23E-01	8.30E-01	0.007428912	7.27E-01	1.83E-02	-0.051876843	9.21E-02	9.67E-01	0.001414429	6.99E-01	Inactive	nonPAR
ENSG00000147127.4	RAB41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.22E-01	-0.006711875	6.20E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.23E-01	-0.066318329	8.27E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Inactive	nonPAR
ENSG00000147130.10	ZMYM3	1.11E-04	-0.090858727	8.29E-04	9.70E-01	-0.001625496	6.49E-01	2.45E-01	-0.047380632	6.46E-01	3.71E-03	-0.072071495	3.63E-02	2.37E-03	-0.122992495	7.25E-02	7.73E-01	-0.006085838	6.20E-01	2.75E-02	-0.068976393	1.20E-01	3.30E-01	-0.045795077	9.73E-01	4.39E-01	-0.028302219	8.52E-01	1.20E-01	-0.070120877	5.63E-01	8.08E-03	-0.070398627	1.35E-01	5.83E-01	-0.014346069	7.40E-01	3.02E-03	-0.047432269	1.79E-02	1.03E-01	-0.058970425	2.67E-01	6.63E-01	-0.014129329	4.28E-01	6.92E-01	0.014856705	8.60E-01	1.85E-01	-0.086970256	5.34E-01	7.99E-01	0.006503557	7.81E-01	7.81E-01	-0.007282303	4.50E-01	5.93E-01	0.011361393	6.14E-01	7.23E-01	-0.011214481	6.69E-01	1.60E-01	0.06455211	3.89E-01	2.06E-02	-0.079454547	9.27E-02	1.46E-01	-0.036878547	1.78E-01	3.29E-01	-0.059147846	7.44E-01	8.02E-02	-0.068853442	2.01E-01	3.91E-01	-0.033723079	5.83E-01	2.08E-02	-0.057882349	9.87E-02	8.95E-01	0.003960399	6.83E-01	Inactive	nonPAR
ENSG00000147133.11	TAF1	3.11E-01	0.016078892	2.75E-01	8.34E-01	0.00504164	6.15E-01	8.83E-01	0.004259275	8.22E-01	4.05E-01	0.016938313	4.49E-01	3.02E-02	-0.065136174	2.03E-01	3.80E-02	-0.035053848	1.43E-01	1.14E-01	-0.050796513	2.45E-01	4.84E-01	0.021665845	9.79E-01	9.80E-01	0.000696128	9.11E-01	6.80E-01	0.011649509	8.01E-01	3.72E-01	-0.014380254	5.79E-01	4.44E-01	-0.013684105	7.03E-01	4.20E-02	-0.028442484	9.93E-02	2.04E-01	-0.030873324	3.59E-01	6.47E-03	0.062567807	2.30E-02	1.73E-01	-0.036924148	7.13E-01	5.41E-01	0.031471419	7.05E-01	6.14E-01	-0.008795626	7.40E-01	3.43E-01	0.022857701	2.72E-01	7.73E-01	-0.004608523	6.65E-01	9.52E-01	0.001546476	7.27E-01	1.50E-01	0.054762065	3.78E-01	4.95E-04	0.080355911	9.25E-03	1.29E-01	0.024816242	1.65E-01	4.34E-01	0.038034382	7.80E-01	9.97E-01	0.000121082	6.31E-01	7.60E-01	-0.009503487	7.13E-01	7.99E-01	0.003909095	5.99E-01	3.33E-01	0.020818402	4.69E-01	Inactive	nonPAR
ENSG00000147138.1	GPR174	NA	NA	NA	5.72E-01	0.076103283	5.29E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.32E-01	0.037683669	8.89E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.97E-01	-0.000339868	8.92E-01	NA	NA	NA	3.52E-01	0.064854362	6.49E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.08E-01	0.057927695	8.42E-01	4.58E-01	-0.065568237	4.59E-01	7.49E-01	-0.047977523	7.09E-01	3.26E-02	0.232318343	1.26E-01	1.13E-01	0.105465327	2.89E-01	Variable	nonPAR
ENSG00000147140.11	NONO	4.90E-01	-0.008945875	3.62E-01	7.03E-01	-0.008461877	5.77E-01	6.76E-01	-0.011842612	7.84E-01	2.45E-01	-0.022699238	3.55E-01	8.79E-01	0.004157456	7.22E-01	5.27E-01	0.009921106	5.31E-01	1.76E-01	-0.036968253	3.01E-01	5.97E-01	-0.015030138	9.85E-01	5.71E-01	-0.013480971	8.68E-01	1.96E-01	-0.03201688	6.29E-01	1.37E-01	-0.019613503	4.00E-01	9.63E-01	0.000770309	8.15E-01	1.96E-02	-0.03128234	6.24E-02	5.15E-01	0.012393747	5.26E-01	4.07E-02	0.041225209	7.90E-02	6.74E-01	-0.01084764	8.56E-01	3.55E-01	-0.037590819	6.34E-01	6.29E-01	0.007625099	7.44E-01	4.99E-01	0.010209717	3.46E-01	5.13E-01	0.008012039	5.80E-01	6.45E-02	0.048521639	2.46E-01	7.83E-01	-0.007880741	6.84E-01	3.69E-01	-0.01746848	4.31E-01	5.18E-01	0.009368444	3.79E-01	6.04E-02	0.064342285	5.58E-01	3.33E-01	0.020390536	3.96E-01	1.72E-01	-0.042113425	4.31E-01	8.90E-02	-0.022615126	2.17E-01	1.99E-01	-0.018354216	3.75E-01	Inactive	nonPAR
ENSG00000147144.8	CCDC120	9.43E-02	-0.046029506	1.28E-01	2.97E-01	-0.04885986	3.95E-01	9.91E-01	-0.000407148	8.38E-01	4.50E-01	-0.02258476	4.70E-01	5.61E-03	-0.123175229	1.04E-01	7.58E-01	-0.008668627	6.16E-01	7.57E-01	-0.012718152	5.75E-01	2.66E-01	-0.051824653	9.72E-01	2.29E-02	-0.097678101	5.46E-01	2.00E-02	-0.10017984	3.61E-01	2.94E-01	0.02796945	5.36E-01	6.08E-02	-0.053894185	4.14E-01	1.37E-01	-0.053378825	2.03E-01	2.36E-03	-0.136373255	4.08E-02	9.15E-01	-0.004482139	5.01E-01	4.93E-01	-0.03876402	8.25E-01	2.42E-01	0.081071847	5.70E-01	2.21E-02	-0.059768661	2.77E-01	3.45E-01	-0.040560536	2.73E-01	6.07E-01	-0.012161047	6.20E-01	3.82E-01	0.023845314	5.27E-01	3.21E-01	0.043431196	5.04E-01	1.13E-01	-0.056831775	2.39E-01	1.76E-02	0.056555219	4.29E-02	8.24E-01	0.018506231	8.62E-01	7.57E-02	-0.067468276	1.96E-01	1.67E-01	-0.055124556	4.26E-01	6.82E-01	0.00797038	5.60E-01	9.86E-02	-0.053445328	2.70E-01	Inactive	nonPAR
ENSG00000147145.8	LPAR4	2.52E-01	-0.117404675	2.41E-01	3.38E-01	0.1170707	4.17E-01	NA	NA	NA	4.32E-02	-0.213099385	1.49E-01	5.27E-02	0.313472633	2.60E-01	3.27E-01	0.096842021	4.30E-01	8.23E-02	-0.397933217	2.08E-01	8.53E-01	0.02732409	9.98E-01	6.94E-01	0.064405825	8.83E-01	7.39E-01	-0.039803706	8.13E-01	NA	NA	NA	9.59E-01	-0.004233445	8.14E-01	1.82E-01	-0.138128013	2.38E-01	2.29E-01	0.157434184	3.77E-01	4.94E-01	0.090264919	3.64E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79E-01	0.161170292	3.86E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.36E-01	-0.174767617	5.57E-01	9.09E-01	0.012392827	6.26E-01	NA	NA	NA	Inactive	nonPAR
ENSG00000147155.6	EBP	8.84E-01	-0.005275117	5.02E-01	1.22E-01	-0.092885716	2.59E-01	3.89E-01	-0.068762211	7.07E-01	1.08E-01	0.058630822	2.37E-01	3.70E-01	-0.05872148	5.46E-01	2.04E-03	0.093276591	2.29E-02	7.70E-01	-0.013886022	5.79E-01	9.12E-02	-0.096882025	9.26E-01	4.29E-02	0.100502712	6.06E-01	8.12E-01	0.011896186	8.23E-01	6.91E-01	0.016881689	6.97E-01	9.04E-01	-0.00377656	8.05E-01	8.58E-02	-0.052774862	1.53E-01	6.25E-02	0.079616781	2.15E-01	1.79E-03	0.121992031	9.33E-03	3.27E-01	-0.045961283	7.84E-01	8.07E-01	-0.026564816	7.74E-01	1.75E-01	-0.056139074	5.43E-01	4.01E-01	0.029474953	3.01E-01	7.73E-01	-0.008097651	6.65E-01	6.01E-02	0.100927025	2.39E-01	8.40E-01	-0.009439637	6.98E-01	7.09E-03	-0.112558802	5.01E-02	7.96E-05	-0.12550388	8.01E-04	3.61E-01	0.081638494	7.58E-01	3.59E-01	0.032834808	4.10E-01	9.05E-02	0.098092443	3.37E-01	1.53E-01	0.040487646	2.83E-01	4.76E-01	0.0215545	5.47E-01	Unknown	nonPAR
ENSG00000147160.5	AWAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.15E-02	0.497262321	3.51E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.58E-01	-0.101387303	5.21E-01	2.51E-04	-1.641626778	1.92E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	nonPAR
