Gene ID	Gene name	ADPSBQ_Pval	ADPSBQ_logFC	ADPSBQ_qvalue	ADPVSC_Pval	ADPVSC_logFC	ADPVSC_qvalue	ADRNLG_Pval	ADRNLG_logFC	ADRNLG_qvalue	ARTAORT_Pval	ARTAORT_logFC	ARTAORT_qvalue	ARTCRN_Pval	ARTCRN_logFC	ARTCRN_qvalue	ARTTBL_Pval	ARTTBL_logFC	ARTTBL_qvalue	BRNCTXA_Pval	BRNCTXA_logFC	BRNCTXA_qvalue	CLNSGM_Pval	CLNSGM_logFC	CLNSGM_qvalue	CLNTRN_Pval	CLNTRN_logFC	CLNTRN_qvalue	ESPGEJ_Pval	ESPGEJ_logFC	ESPGEJ_qvalue	ESPMCS_Pval	ESPMCS_logFC	ESPMCS_qvalue	ESPMSL_Pval	ESPMSL_logFC	ESPMSL_qvalue	FIBRBLS_Pval	FIBRBLS_logFC	FIBRBLS_qvalue	HRTAA_Pval	HRTAA_logFC	HRTAA_qvalue	HRTLV_Pval	HRTLV_logFC	HRTLV_qvalue	LCL_Pval	LCL_logFC	LCL_qvalue	LIVER_Pval	LIVER_logFC	LIVER_qvalue	LUNG_Pval	LUNG_logFC	LUNG_qvalue	MSCLSK_Pval	MSCLSK_logFC	MSCLSK_qvalue	NERVET_Pval	NERVET_logFC	NERVET_qvalue	PNCREAS_Pval	PNCREAS_logFC	PNCREAS_qvalue	PTTARY_Pval	PTTARY_logFC	PTTARY_qvalue	SKINNS_Pval	SKINNS_logFC	SKINNS_qvalue	SKINS_Pval	SKINS_logFC	SKINS_qvalue	SMINTI_Pval	SMINTI_logFC	SMINTI_qvalue	SPLEEN_Pval	SPLEEN_logFC	SPLEEN_qvalue	STMACH_Pval	STMACH_logFC	STMACH_qvalue	THYROID_Pval	THYROID_logFC	THYROID_qvalue	WHLBLD_Pval	WHLBLD_logFC	WHLBLD_qvalue	category	region
ENSG00000000003.10	TSPAN6	5.50E-04	0.112415336	2.95E-03	2.16E-01	-0.0740154	3.41E-01	5.42E-01	0.019143369	7.55E-01	3.58E-01	-0.028458852	4.27E-01	1.33E-02	0.152901393	1.46E-01	2.61E-01	0.034531434	3.87E-01	2.91E-01	-0.070676774	3.82E-01	2.94E-01	-0.071256683	9.72E-01	6.35E-02	0.115207082	6.48E-01	6.31E-01	0.029024525	7.92E-01	1.26E-01	0.061920608	3.87E-01	3.70E-01	0.045427867	6.71E-01	8.36E-01	0.004103161	5.41E-01	2.72E-01	0.047136212	4.07E-01	1.07E-02	-0.111240021	3.21E-02	NA	NA	NA	2.01E-02	-0.165486473	2.66E-01	2.73E-01	0.040404584	6.09E-01	5.85E-01	0.021009911	3.81E-01	5.75E-01	0.017526836	6.07E-01	3.96E-01	0.027243369	5.36E-01	4.17E-03	-0.283235696	7.02E-02	9.23E-01	0.003688963	6.38E-01	3.69E-01	0.026732867	3.14E-01	4.94E-01	0.05532756	7.96E-01	8.26E-01	-0.010375124	5.87E-01	1.99E-01	0.064645494	4.55E-01	1.50E-01	0.030533663	2.80E-01	NA	NA	NA	Variable	nonPAR
ENSG00000000005.5	TNMD	2.77E-03	0.349825477	1.02E-02	1.66E-03	-0.538615587	3.20E-02	NA	NA	NA	NA	NA	NA	4.17E-01	0.204050787	5.69E-01	1.40E-01	0.248101088	2.87E-01	NA	NA	NA	NA	NA	NA	8.44E-01	0.025672483	9.00E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.56E-03	0.3570044	1.62E-02	3.63E-05	-0.657027933	2.35E-03	NA	NA	NA	NA	NA	NA	8.46E-01	0.028073464	6.19E-01	4.78E-04	0.346974163	3.15E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	nonPAR
ENSG00000001497.12	LAS1L	6.23E-01	0.00816909	4.15E-01	1.94E-04	0.107575814	1.02E-02	5.33E-01	-0.021928	7.54E-01	8.65E-01	-0.003751429	6.08E-01	1.67E-01	-0.047927493	4.05E-01	5.17E-01	0.011188409	5.26E-01	6.77E-02	0.070939145	1.91E-01	5.23E-01	0.023539127	9.80E-01	6.09E-01	-0.018134439	8.73E-01	2.02E-01	0.046571132	6.31E-01	8.07E-01	0.004610419	7.28E-01	6.01E-01	0.015577943	7.46E-01	4.03E-02	-0.03627659	9.67E-02	1.02E-01	0.044998679	2.66E-01	4.74E-03	0.068519352	1.83E-02	1.80E-01	0.035205698	7.13E-01	5.45E-02	0.093664124	3.63E-01	1.33E-01	0.028591638	5.03E-01	2.85E-04	0.069004463	1.37E-03	8.38E-02	0.025129476	2.77E-01	9.37E-01	0.002079778	7.24E-01	4.79E-02	0.089344739	2.27E-01	3.05E-02	0.057814559	1.15E-01	1.41E-02	0.043718045	3.66E-02	4.03E-02	0.092680582	5.14E-01	4.03E-01	0.028716343	4.31E-01	7.70E-03	-0.097993888	1.20E-01	2.98E-01	0.018082144	3.92E-01	8.55E-01	0.003634675	6.72E-01	Inactive	nonPAR
ENSG00000002586.13	CD99	4.92E-25	-0.226844749	1.21E-22	1.95E-25	-0.385464766	1.95E-22	7.69E-41	-0.785718004	4.82E-37	3.57E-14	-0.213762423	1.08E-11	9.50E-20	-0.415500194	1.06E-16	9.63E-52	-0.379546618	8.57E-49	3.70E-26	-0.91297703	1.21E-22	2.17E-23	-0.538932238	4.09E-20	2.88E-18	-0.408212231	2.18E-15	3.15E-11	-0.306631334	3.29E-08	7.75E-15	-0.273429179	3.46E-12	7.63E-26	-0.362154571	6.66E-23	2.94E-02	-0.056833321	7.90E-02	5.21E-37	-0.53266811	1.03E-33	7.66E-30	-0.46507116	6.26E-27	2.41E-09	-0.675292076	1.40E-06	1.77E-08	-0.32829737	1.34E-05	1.04E-39	-0.427956076	1.14E-36	7.15E-47	-0.527339753	5.54E-44	5.93E-69	-0.471033506	8.29E-66	2.63E-14	-0.28280165	1.39E-11	3.20E-23	-0.980571807	9.41E-20	1.35E-17	-0.286459658	6.27E-15	4.86E-18	-0.200240848	1.20E-15	5.11E-10	-0.412427258	4.15E-07	2.79E-19	-0.44771854	2.03E-16	8.40E-21	-0.406588316	8.32E-18	4.91E-47	-0.438730152	3.63E-44	1.14E-11	-0.213722229	4.24E-09	Escape	PAR
ENSG00000003096.9	KLHL13	1.41E-08	-0.276448711	4.16E-07	3.77E-01	0.067291554	4.39E-01	6.44E-01	0.04017128	7.75E-01	1.22E-04	-0.200153412	3.18E-03	2.24E-02	0.152546084	1.82E-01	5.26E-01	-0.028873918	5.30E-01	7.76E-01	0.016623277	5.81E-01	8.45E-02	0.10214274	9.26E-01	4.72E-01	-0.034052318	8.58E-01	6.56E-01	0.02913479	7.97E-01	1.13E-04	0.155891618	1.27E-02	1.57E-01	0.07562559	5.48E-01	4.94E-04	0.226578024	5.01E-03	2.76E-02	0.12232727	1.45E-01	1.77E-01	-0.074603363	2.00E-01	3.88E-01	0.391794944	8.01E-01	1.99E-01	-0.172840219	5.44E-01	9.30E-01	0.005687311	8.04E-01	7.89E-04	0.12872142	3.11E-03	1.73E-01	0.045664209	3.80E-01	4.88E-01	-0.033828096	5.80E-01	1.88E-01	0.115610971	4.13E-01	3.97E-02	0.151411901	1.34E-01	8.51E-01	0.009359518	4.93E-01	7.37E-01	0.033673392	8.48E-01	3.03E-05	0.395758768	2.74E-03	7.15E-01	-0.026339715	7.02E-01	2.99E-01	-0.053586395	3.92E-01	NA	NA	NA	Inactive	nonPAR
ENSG00000004848.6	ARX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.09E-01	-0.044497384	4.88E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.42E-01	0.023885123	7.89E-01	2.66E-02	0.102016122	4.58E-02	NA	NA	NA	1.10E-01	0.183068137	3.11E-01	1.40E-02	0.733923465	1.31E-01	NA	NA	NA	NA	NA	NA	8.68E-01	-0.023893742	8.68E-01	NA	NA	NA	2.28E-06	0.612647667	6.17E-04	8.95E-01	-0.022375364	6.24E-01	NA	NA	NA	Unknown	nonPAR
ENSG00000004961.10	HCCS	1.26E-07	0.108108883	2.82E-06	3.37E-01	-0.025917705	4.17E-01	6.46E-01	0.013206661	7.76E-01	1.77E-01	0.038038556	3.03E-01	8.14E-02	0.066084808	3.10E-01	4.37E-01	0.016731275	4.89E-01	4.29E-04	-0.131328716	1.92E-02	9.95E-01	0.000235989	1.00E+00	5.84E-01	-0.016231848	8.69E-01	3.42E-01	0.03146104	6.99E-01	8.74E-01	0.002699285	7.43E-01	2.06E-01	0.028815196	5.84E-01	9.13E-01	-0.00153809	5.63E-01	3.06E-03	-0.08450676	4.77E-02	5.46E-02	-0.062664882	9.54E-02	2.91E-01	0.028311388	7.74E-01	7.08E-01	0.021509066	7.52E-01	4.40E-01	0.01701283	6.85E-01	9.10E-05	-0.077804591	5.64E-04	4.21E-01	0.017848412	5.41E-01	2.75E-01	-0.030334639	4.61E-01	1.06E-01	0.085716712	3.27E-01	9.19E-01	0.002498566	6.37E-01	1.18E-01	0.029285975	1.55E-01	3.20E-01	0.042711497	7.40E-01	9.95E-01	0.000188453	6.30E-01	1.85E-01	0.048745452	4.43E-01	4.79E-01	-0.016768556	4.84E-01	2.65E-01	0.023639163	4.24E-01	Inactive	nonPAR
ENSG00000005022.5	SLC25A5	7.61E-01	0.006309408	4.63E-01	1.26E-01	0.054797946	2.64E-01	7.25E-01	0.012596921	7.96E-01	2.28E-01	-0.027601441	3.45E-01	1.61E-01	0.052329122	4.00E-01	2.70E-02	0.039679294	1.18E-01	9.65E-01	0.001583182	6.30E-01	3.11E-01	0.047383507	9.72E-01	3.66E-01	0.034120211	8.38E-01	1.85E-01	0.055251955	6.20E-01	2.21E-01	0.032734018	4.84E-01	9.60E-01	0.001277542	8.14E-01	3.42E-01	0.019188577	3.42E-01	5.67E-03	0.108308252	6.63E-02	2.17E-06	0.224536357	5.97E-05	8.26E-01	0.006773911	8.76E-01	8.18E-01	-0.014533216	7.77E-01	9.52E-01	0.001590894	8.07E-01	5.97E-05	0.131299544	4.03E-04	1.24E-01	0.029963906	3.32E-01	1.45E-01	0.063666916	3.52E-01	4.62E-01	0.03896523	5.75E-01	1.73E-02	-0.074278527	8.37E-02	1.37E-04	-0.087708451	1.23E-03	3.02E-01	0.060511789	7.38E-01	1.27E-02	0.074887716	8.22E-02	1.35E-02	0.124991995	1.53E-01	1.90E-01	-0.029101605	3.15E-01	7.35E-02	-0.031561648	2.34E-01	Inactive	nonPAR
ENSG00000005302.13	MSL3	8.74E-01	0.00264985	4.99E-01	3.42E-01	-0.029420994	4.21E-01	4.40E-01	-0.017771622	7.26E-01	3.53E-02	-0.046846377	1.35E-01	1.97E-01	-0.042604774	4.29E-01	8.17E-02	-0.03317052	2.17E-01	1.91E-01	-0.036105748	3.13E-01	2.35E-01	-0.043998005	9.72E-01	1.46E-01	-0.045290758	7.39E-01	6.94E-01	0.012528573	8.04E-01	3.33E-01	0.017204581	5.59E-01	2.04E-01	-0.025711862	5.83E-01	1.43E-02	-0.042583775	5.12E-02	2.92E-01	0.03030015	4.20E-01	6.73E-01	-0.011269635	4.31E-01	2.15E-03	0.264621076	2.30E-01	5.76E-01	-0.028557366	7.17E-01	9.30E-01	0.001989361	8.04E-01	1.22E-01	-0.039106216	1.36E-01	7.65E-01	0.004988938	6.64E-01	3.28E-01	0.026430033	4.97E-01	3.64E-01	0.033463986	5.28E-01	1.82E-01	-0.037609024	3.07E-01	9.49E-01	0.00120285	5.21E-01	9.99E-01	-6.58E-05	8.84E-01	1.53E-01	0.048496809	2.74E-01	4.60E-01	-0.023481153	6.14E-01	5.34E-02	0.035973243	1.66E-01	6.00E-02	0.050422557	2.12E-01	Escape	nonPAR
ENSG00000005889.11	ZFX	5.17E-64	0.520268463	8.41E-61	9.57E-34	0.522602389	1.37E-30	7.76E-33	0.612816841	1.39E-29	4.12E-68	0.642684801	1.29E-64	2.42E-36	0.590277229	8.96E-33	1.34E-89	0.578213751	4.37E-86	1.51E-29	0.594350831	7.38E-26	5.35E-24	0.453337896	1.15E-20	1.43E-42	0.531921527	4.12E-39	1.80E-26	0.45040359	3.77E-23	8.31E-70	0.567118666	1.61E-66	1.35E-58	0.502484259	4.13E-55	4.29E-74	0.626491859	4.88E-71	2.79E-40	0.570165831	9.14E-37	4.82E-58	0.628269121	1.77E-54	1.81E-29	0.645187105	3.02E-26	1.05E-22	0.758261815	2.38E-19	1.86E-75	0.5507756	6.82E-72	3.22E-102	0.618685582	7.49E-99	2.07E-83	0.562544814	4.64E-80	8.29E-35	0.493590712	1.10E-31	7.60E-16	0.533882506	1.12E-12	4.38E-43	0.563716041	7.47E-40	1.28E-72	0.540630593	1.54E-69	2.90E-19	0.568833782	1.00E-15	1.02E-33	0.606974916	4.84E-30	8.87E-36	0.536338591	2.11E-32	2.61E-85	0.552102727	6.75E-82	4.09E-59	0.455282184	7.62E-56	Escape	nonPAR
ENSG00000005893.11	LAMP2	4.10E-01	0.0143101	3.26E-01	2.97E-01	-0.026760661	3.95E-01	5.45E-01	-0.023193437	7.56E-01	9.18E-02	-0.036557617	2.19E-01	7.59E-01	0.012013797	6.91E-01	1.97E-01	-0.023161672	3.37E-01	1.04E-03	-0.24975999	2.78E-02	9.76E-01	0.001079002	1.00E+00	4.10E-01	0.026220261	8.49E-01	7.58E-01	-0.008769279	8.14E-01	5.90E-02	-0.033045115	2.88E-01	5.03E-01	-0.014630569	7.20E-01	9.49E-02	0.030151755	1.62E-01	4.25E-08	-0.15277923	1.44E-05	9.52E-01	-0.001611189	5.10E-01	2.52E-01	-0.038520577	7.51E-01	2.86E-02	0.121770846	3.02E-01	9.58E-03	-0.055963447	1.93E-01	3.54E-01	0.025137992	2.78E-01	6.89E-02	-0.04284409	2.53E-01	4.38E-01	-0.020903724	5.57E-01	2.57E-01	-0.0622737	4.62E-01	2.69E-01	-0.028419867	3.70E-01	1.25E-04	-0.06360599	1.13E-03	8.48E-01	-0.013207334	8.66E-01	2.56E-01	0.038074786	3.50E-01	4.35E-01	0.032449345	6.03E-01	2.41E-03	-0.053615748	2.88E-02	4.84E-01	-0.016627293	5.51E-01	Inactive	nonPAR
ENSG00000006756.11	ARSD	4.81E-37	0.471052467	2.30E-34	2.57E-13	0.328880411	1.36E-10	1.61E-01	0.057550844	5.84E-01	9.31E-37	0.505492747	7.29E-34	5.30E-05	0.208347471	7.86E-03	4.91E-05	0.124395884	1.68E-03	3.11E-02	0.107365065	1.27E-01	2.69E-03	0.173549889	3.82E-01	4.17E-27	0.662832545	5.99E-24	2.25E-04	0.200117478	3.77E-02	2.69E-40	0.515849749	2.61E-37	6.62E-15	0.265103775	3.37E-12	5.85E-24	0.370639956	2.03E-21	2.60E-04	0.166646949	1.24E-02	8.27E-06	0.226304945	1.65E-04	2.63E-01	0.209637686	7.57E-01	1.21E-13	0.657810118	1.37E-10	2.43E-41	0.484148315	2.91E-38	4.15E-09	0.210336052	1.14E-07	3.59E-19	0.241956662	1.03E-16	3.28E-34	0.528573618	3.86E-31	7.73E-01	0.020560703	6.81E-01	3.41E-08	0.23617836	5.45E-06	4.96E-24	0.303818782	1.49E-21	4.18E-09	0.505908998	2.88E-06	2.02E-05	0.193330016	2.25E-03	2.71E-27	0.637280842	3.22E-24	7.80E-54	0.422634146	6.73E-51	1.54E-35	0.444209135	1.10E-32	Escape	nonPAR
ENSG00000006757.7	PNPLA4	2.12E-42	0.478059601	1.33E-39	3.27E-28	0.442613054	4.10E-25	1.74E-33	0.734720343	3.64E-30	2.91E-22	0.403040663	1.44E-19	7.66E-05	0.21058293	1.01E-02	2.39E-16	0.270107721	8.38E-14	5.18E-06	0.266368607	1.59E-03	5.43E-01	0.0328714	9.80E-01	3.73E-27	0.585604815	5.95E-24	2.14E-07	0.254257594	1.17E-04	5.14E-76	0.70566974	1.19E-72	1.43E-19	0.298819171	9.69E-17	4.10E-03	0.108139411	2.22E-02	4.54E-08	0.231037247	1.49E-05	5.95E-08	0.202549687	3.35E-06	8.10E-24	0.872951183	9.45E-21	5.67E-23	0.767262526	1.61E-19	2.10E-45	0.543184804	3.07E-42	3.47E-01	0.025668269	2.74E-01	1.14E-28	0.429701279	5.10E-26	8.07E-31	0.530806228	7.76E-28	1.08E-07	0.419747689	4.70E-05	3.22E-44	0.532928271	6.59E-41	1.16E-55	0.493333605	9.73E-53	9.71E-14	0.732297545	1.67E-10	2.96E-18	0.599584183	2.00E-15	4.78E-29	0.6107936	7.10E-26	3.45E-61	0.497177289	3.96E-58	3.15E-18	0.416047429	1.55E-15	Escape	nonPAR
ENSG00000007350.12	TKTL1	7.10E-01	-0.047354151	4.46E-01	4.36E-01	0.133121959	4.69E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.73E-02	0.167733964	1.89E-01	3.09E-01	0.082630473	2.79E-01	NA	NA	NA	NA	NA	NA	5.19E-02	0.276452479	3.83E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.15E-01	0.191578669	5.00E-01	NA	NA	NA	9.94E-01	-0.001058253	5.32E-01	NA	NA	NA	4.70E-01	0.143915658	4.64E-01	NA	NA	NA	NA	NA	NA	6.58E-04	0.338540725	1.79E-02	Inactive	nonPAR
ENSG00000007952.13	NOX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.68E-01	-0.210643912	9.58E-01	7.15E-03	0.201843109	4.02E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.88E-01	0.001796333	8.13E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.09E-02	-0.331438417	3.07E-01	7.66E-01	0.036416666	5.93E-01	3.75E-01	0.071315657	3.16E-01	5.55E-01	0.200865519	8.12E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Escape	nonPAR
ENSG00000008056.8	SYN1	NA	NA	NA	1.79E-01	-0.13654323	3.12E-01	1.27E-02	-0.296838168	2.78E-01	6.49E-02	0.167957476	1.83E-01	5.66E-01	-0.085923732	6.28E-01	5.17E-01	0.063608283	5.26E-01	2.15E-02	-0.153275353	1.08E-01	5.31E-01	-0.046359748	9.80E-01	5.48E-01	0.064569263	8.67E-01	1.26E-01	-0.206332352	5.70E-01	NA	NA	NA	3.29E-01	0.079022561	6.57E-01	NA	NA	NA	7.17E-01	-0.034192954	5.98E-01	4.83E-01	0.056468104	3.60E-01	NA	NA	NA	1.05E-01	-0.522665461	4.49E-01	7.61E-01	-0.028358337	7.73E-01	NA	NA	NA	7.09E-01	-0.028961159	6.50E-01	1.84E-01	0.113138879	3.92E-01	5.36E-01	0.047406438	6.05E-01	NA	NA	NA	NA	NA	NA	6.19E-01	-0.090952599	8.27E-01	NA	NA	NA	3.89E-01	0.117791553	5.82E-01	NA	NA	NA	5.62E-01	0.060929059	5.81E-01	Inactive	nonPAR
ENSG00000008086.6	CDKL5	6.08E-01	0.022545757	4.09E-01	9.85E-01	0.00138932	6.53E-01	6.01E-02	0.178276971	4.39E-01	7.32E-02	0.100020876	1.95E-01	4.56E-01	0.071961029	5.88E-01	1.89E-02	0.107168988	9.49E-02	1.40E-02	-0.279603533	8.70E-02	6.31E-02	-0.150767555	8.94E-01	1.17E-01	0.134097656	7.14E-01	7.37E-01	0.02911367	8.12E-01	9.91E-01	-0.000560255	7.67E-01	2.94E-01	-0.052987932	6.39E-01	1.78E-01	-0.050188595	2.35E-01	5.60E-03	0.175013676	6.59E-02	1.17E-01	0.091300203	1.55E-01	3.79E-01	0.15434206	7.99E-01	NA	NA	NA	1.60E-01	0.06393677	5.31E-01	1.34E-02	-0.137668372	2.77E-02	1.78E-01	0.059676578	3.84E-01	5.80E-02	0.1676299	2.34E-01	9.24E-01	0.014380812	7.18E-01	4.19E-01	0.050608568	4.57E-01	1.46E-01	0.068253341	1.77E-01	8.89E-01	0.024337897	8.72E-01	NA	NA	NA	5.51E-01	-0.062733428	6.48E-01	1.05E-01	0.066450407	2.34E-01	3.61E-01	0.075454247	4.87E-01	Inactive	nonPAR
ENSG00000009694.9	TENM1	9.78E-01	-0.001309381	5.27E-01	4.42E-01	-0.08293706	4.73E-01	3.47E-02	0.212798698	3.90E-01	2.78E-01	-0.090026245	3.77E-01	2.53E-01	0.114522857	4.73E-01	2.32E-01	-0.055824115	3.66E-01	5.31E-01	-0.055856558	4.98E-01	7.37E-01	-0.040016139	9.96E-01	3.23E-01	-0.111836713	8.30E-01	4.79E-01	-0.057315879	7.53E-01	1.43E-01	0.101097009	4.08E-01	3.05E-01	-0.053086594	6.45E-01	NA	NA	NA	9.39E-02	-0.20200189	2.58E-01	1.17E-02	-0.261269469	3.41E-02	NA	NA	NA	6.63E-02	0.207750649	3.90E-01	5.98E-01	0.037618179	7.35E-01	1.73E-05	0.220067493	1.46E-04	2.75E-02	-0.122330245	1.63E-01	NA	NA	NA	1.58E-03	0.496342586	4.03E-02	3.14E-05	0.238586166	1.30E-03	6.14E-08	0.261507698	2.66E-06	1.21E-01	0.250474359	6.26E-01	3.96E-01	0.129207225	4.28E-01	7.54E-01	0.044083114	7.11E-01	9.45E-01	0.004196828	6.35E-01	2.73E-01	0.101471118	4.29E-01	Inactive	nonPAR
ENSG00000010404.13	IDS	4.01E-02	-0.054242276	7.17E-02	9.77E-02	-0.070377072	2.34E-01	5.23E-02	-0.089653465	4.19E-01	1.77E-01	0.038621801	3.04E-01	9.24E-02	-0.069501959	3.27E-01	5.97E-01	-0.013909426	5.60E-01	1.32E-01	-0.137337597	2.63E-01	1.13E-01	0.076846093	9.41E-01	2.18E-01	0.051487519	7.82E-01	1.47E-01	0.05994956	5.87E-01	8.86E-01	0.004051942	7.45E-01	3.45E-02	0.056734911	3.47E-01	3.97E-01	-0.020598755	3.71E-01	1.91E-01	-0.045895409	3.49E-01	8.36E-02	-0.058322664	1.25E-01	1.94E-02	-0.127787363	4.62E-01	1.68E-01	-0.09883097	5.23E-01	3.48E-01	0.026029706	6.47E-01	1.50E-01	-0.03853381	1.57E-01	1.48E-02	-0.064342923	1.17E-01	8.66E-01	0.006257093	7.09E-01	1.40E-01	0.061400677	3.66E-01	5.87E-01	0.020043395	5.32E-01	2.97E-02	0.053361153	6.16E-02	8.15E-01	0.017114744	8.60E-01	8.37E-01	0.00902426	5.90E-01	3.24E-01	-0.045512035	5.49E-01	4.30E-01	0.019393849	4.62E-01	3.80E-01	-0.029052773	4.97E-01	Inactive	nonPAR
ENSG00000010671.11	BTK	2.64E-02	0.069654166	5.38E-02	2.80E-01	-0.059825198	3.84E-01	5.36E-02	-0.10859602	4.23E-01	6.98E-01	0.014831662	5.59E-01	8.09E-01	-0.017274849	7.05E-01	4.09E-01	0.034043842	4.76E-01	1.09E-01	0.150630537	2.39E-01	9.56E-01	-0.004740377	1.00E+00	8.06E-01	0.01390416	8.96E-01	2.83E-02	-0.193090563	4.03E-01	8.38E-02	-0.097740615	3.29E-01	2.54E-01	-0.067392859	6.17E-01	NA	NA	NA	3.22E-02	0.141179206	1.56E-01	4.92E-02	0.123469336	8.90E-02	3.71E-01	0.025063721	7.98E-01	3.21E-01	-0.103683402	6.19E-01	1.57E-01	0.053214508	5.29E-01	3.32E-01	-0.055673065	2.67E-01	4.01E-02	0.07193913	1.95E-01	1.86E-01	-0.107457384	3.93E-01	9.07E-01	0.017365596	7.13E-01	6.85E-01	0.022457335	5.68E-01	4.92E-01	-0.024997811	3.68E-01	9.92E-02	0.095275609	6.13E-01	2.25E-02	0.09335566	1.10E-01	1.92E-01	-0.092074365	4.48E-01	8.06E-03	0.138645884	5.82E-02	7.47E-02	0.04614951	2.36E-01	Inactive	nonPAR
ENSG00000011201.6	KAL1	6.89E-05	-0.280672687	5.63E-04	5.96E-01	-0.044338623	5.37E-01	9.38E-03	-0.305276483	2.52E-01	2.51E-06	0.328717478	1.55E-04	2.80E-01	-0.09784618	4.92E-01	5.83E-01	-0.04023164	5.54E-01	1.57E-01	-0.097134131	2.86E-01	8.19E-04	-0.349938869	2.00E-01	2.44E-06	-0.53380587	8.55E-04	1.57E-02	-0.354230151	3.35E-01	3.86E-01	-0.052110971	5.84E-01	7.78E-02	-0.176340618	4.47E-01	NA	NA	NA	3.83E-01	-0.065673962	4.69E-01	7.76E-01	0.01644628	4.61E-01	NA	NA	NA	NA	NA	NA	4.88E-27	0.714245015	3.78E-24	7.73E-03	-0.15006076	1.83E-02	4.90E-02	0.083282909	2.14E-01	NA	NA	NA	8.23E-01	0.032423449	6.94E-01	3.07E-02	-0.201849707	1.15E-01	9.96E-01	0.000352454	5.32E-01	4.38E-04	-0.456613761	1.12E-01	1.45E-04	-0.64310263	7.57E-03	1.44E-01	0.177681941	4.01E-01	9.96E-03	-0.088352195	6.56E-02	8.32E-01	0.027743555	6.65E-01	Escape	nonPAR
ENSG00000011677.8	GABRA3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.90E-01	-0.068592305	3.12E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.85E-01	0.125735715	5.83E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.32E-02	0.78053939	2.78E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Variable	nonPAR
ENSG00000012174.7	MBTPS2	1.21E-01	-0.02829309	1.51E-01	1.87E-01	0.037144211	3.19E-01	2.81E-01	0.033855771	6.64E-01	7.18E-01	-0.0080423	5.66E-01	5.37E-01	-0.022020306	6.18E-01	4.72E-01	-0.014237493	5.05E-01	1.65E-01	-0.075747971	2.93E-01	3.97E-01	-0.032629902	9.73E-01	2.35E-01	0.044842959	7.92E-01	4.50E-01	-0.028443961	7.44E-01	2.36E-01	-0.027406756	4.94E-01	7.71E-01	-0.007235315	7.85E-01	9.58E-01	0.000800588	5.75E-01	2.49E-01	-0.031592626	3.92E-01	3.50E-01	0.025355607	2.99E-01	4.24E-02	-0.065948195	5.39E-01	5.44E-01	-0.035456449	7.07E-01	1.27E-01	-0.032733302	4.98E-01	5.21E-04	0.081037224	2.23E-03	3.98E-01	0.015876183	5.30E-01	5.38E-01	0.01731602	6.02E-01	1.88E-02	-0.135588528	1.51E-01	5.43E-01	0.017735747	5.15E-01	1.38E-03	-0.058100737	6.90E-03	2.20E-01	0.077007989	7.05E-01	1.67E-04	0.195213675	8.12E-03	4.22E-01	0.035377826	5.97E-01	1.36E-02	-0.053919886	7.82E-02	3.20E-01	0.040583654	4.61E-01	Inactive	nonPAR
